公告,#genre#
广州新闻高清,http://43.136.119.99/zb0.php?id=239.253.43.72:5146 
广州影视高清,http://43.136.119.99/zb0.php?id=239.253.43.73:5146 
广州法治高清,http://43.136.119.99/zb0.php?id=239.253.43.74:5146 
南国都市4K,http://43.136.119.99/zb0.php?id=239.253.43.99:5146 
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx 
凤凰资讯,http://211.72.65.236:8576/.m3u8 
凤凰资讯,http://wouu.net:9977/udp/239.93.0.118:2191 
凤凰资讯,http://wouu.net:9977/udp/239.93.1.4:2191 
凤凰资讯,http://222.212.152.219:4443/udp/239.93.0.118:2191 
凤凰资讯,http://222.212.152.219:4443/udp/239.93.1.4:2191 
凤凰资讯,http:///udp/239.93.0.118:2191 
凤凰资讯,http:///udp/239.93.1.4:2191 
凤凰资讯,http://xeace.cn:8888/rtp/239.93.1.4:2191 
凤凰资讯,http://171.213.198.240:4000/rtp/239.93.1.4:2191 
凤凰资讯,http://171.213.196.163:8888/rtp/239.93.1.4:2191 
凤凰资讯,http://60.178.151.155:4022/rtp/233.50.200.192:5140 
凤凰资讯,http://wouu.net:9977/rtp/239.93.1.4:2191 
凤凰资讯,http://171.213.206.59:8000/rtp/239.93.1.4:2191 
凤凰资讯,http://171.213.203.138:8088/rtp/239.93.1.4:2191 
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx 
凤凰资讯,http://171.213.196.163:8888/rtp/239.93.1.4:2191 
凤凰资讯,http://60.189.55.49:9999/rtp/233.50.200.192:5140 
凤凰资讯,http://122.246.184.212:9999/rtp/233.50.200.192:5140 
凤凰资讯,http://xeace.cn:8888/rtp/239.93.1.4:2191 
凤凰资讯,http://wouu.net:9977/rtp/239.93.1.4:2191 
凤凰资讯,http://222.212.152.219:4443/rtp/239.93.1.4:2191 
凤凰资讯,http://171.213.206.59:8000/rtp/239.93.1.4:2191 
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw 
凤凰中文,http://211.72.65.236:8577/.m3u8 
凤凰中文,http://wouu.net:9977/udp/239.93.0.162:2192 
凤凰中文,http://wouu.net:9977/udp/239.93.1.9:2192 
凤凰中文,http://222.212.152.219:4443/udp/239.93.0.162:2192 
凤凰中文,http://222.212.152.219:4443/udp/239.93.1.9:2192 
凤凰中文,http:///udp/239.93.0.162:2192 
凤凰中文,http:///udp/239.93.1.9:2192 
凤凰中文,http://171.213.196.163:8888/rtp/239.93.1.9:2192 
